artist,title
gaitan/castillo/adassa/feliz,we don't talk about bruno
fireboy dml & ed sheeran,peru
jessica darrow,surface pressure
gayle,abcdefu
lost frequencies/calum scott,where are you now
arrdee & aitch,war
sam fender,seventeen going under
belters only ft jazzy,make me feel good
stephanie beatriz/olga merediz,the family madrigal
d-block europe ft central cee,overseas
hazey,packs and potions
luude ft colin hay,down under
digga d/still brickin',pump 101
lauren spencer-smith,fingers crossed
adele,oh my god
ed sheeran,shivers
imagine dragons/jid/league of,enemy
liam gallagher,everything's electric
justin bieber,ghost
ed sheeran,bad habits
joel corry ft mabel,i wish
tiesto & ava max,the motto
adele,easy on me
tate mcrae,she's all i wanna be
elton john & dua lipa,cold heart
years & years/galantis,sweet talker
glass animals,heat waves
gunna/future/young thug,pushin p
weeknd,sacrifice
george ezra,anyone for you
nicki minaj & lil baby,do we have a problem
switchotr ft a1 & j1,coming for you
central cee,cold shoulder
charli xcx ft rina sawayama,beg for you
ed sheeran,overpass graffiti
arz,alone with you
juice wrld,cigarettes
em beihold,numb little bug
dermot kennedy,better days
jax jones ft mnek,where did you go
charlie puth,light switch
kid laroi & justin bieber,stay
red hot chili peppers,black summer
arrdee,flowers (say my name)
cat burns,go
muni long,hrs and hrs
acraze ft cherish,do it to it
ella henderson,brave
jaymes young,infinity
central cee,retail therapy
jnr choi & sam tompkins,to the moon
machine gun kelly ft willow,emo girl
d-block europe ft aj tracey,make you smile
wilkinson & issey cross,used to this
lil nas x,thats what i want
dod & carla monroe,still sleepless
labrinth,all for us
ckay,love nwantiti (ah ah ah)
bad boy chiller crew,bmw
olivia rodrigo,good 4 u
alesso/katy perry,when i'm gone
neighbourhood,softcore
ruth b,dandelions
frank ocean,lost
weeknd,save your tears
becky hill & topic,my heart goes (la di da)
sza,i hate u
central cee,obsessed with you
beatfreakz/raye/russ/www,money calling
sigala,melody
boywithuke,toxic
rare occasions,notion
weeknd,blinding lights
killers,mr brightside
adele,i drink wine
lil nas x & jack harlow,industry baby
ewan mcvicar,tell me something good
doja cat,woman
jason derulo,acapulco
private zero,someone else
labrinth,formula
becky hill & david guetta,remember
sadie jean,wyd now
dua lipa,levitating
griff & sigrid,head on fire
jonas blue & why don't we,don't wake me up
tom grennan,don't break the heart
doja cat,get into it (yuh)
coldplay & bts,my universe
walters,i love you so
dave ft stormzy,clash
elley duhe,middle of the night
billie eilish,happier than ever
jethro heston/max marshall,cut me loose
shawn mendes,it'll be okay
lewis capaldi,someone you loved
emmy meli,i am woman
jonasu,black magic
nemzzz,elevate
bad boy chiller crew ft s dog,450
