song_name,artist
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
Do We Have A Problem?,Nicki Minaj X Lil Baby
Easy On Me,Adele
Heat Waves,Glass Animals
Stay,The Kid LAROI & Justin Bieber
Super Gremlin,Kodak Black
abcdefu,GAYLE
Shivers,Ed Sheeran
Ghost,Justin Bieber
Surface Pressure,Jessica Darrow
Pushin P,Gunna & Future Featuring Young Thug
Thats What I Want,Lil Nas X
Need To Know,Doja Cat
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Bad Habits,Ed Sheeran
Industry Baby,Lil Nas X & Jack Harlow
Levitating,Dua Lipa
Save Your Tears,The Weeknd & Ariana Grande
Hrs And Hrs,Muni Long
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast"
One Right Now,Post Malone & The Weeknd
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
Oh My God,Adele
I Hate U,SZA
Good 4 U,Olivia Rodrigo
Love Nwantiti (Ah Ah Ah),CKay
Knife Talk,Drake Featuring 21 Savage & Project Pat
Big Energy,Latto
Woman,Doja Cat
You Should Probably Leave,Chris Stapleton
Enemy,Imagine Dragons X JID
Better Days,NEIKED X Mae Muller X Polo G
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
Fingers Crossed,Lauren Spencer-Smith
Buy Dirt,Jordan Davis Featuring Luke Bryan
Fancy Like,Walker Hayes
You Right,Doja Cat & The Weeknd
Sand In My Boots,Morgan Wallen
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
Don't Play That,King Von & 21 Savage
Dos Oruguitas,Sebastian Yatra
Essence,Wizkid Featuring Justin Bieber & Tems
Cigarettes,Juice WRLD
Kiss Me More,Doja Cat Featuring SZA
Freedom Was A Highway,Jimmie Allen & Brad Paisley
Sacrifice,The Weeknd
'Til You Can't,Cody Johnson
To Be Loved By You,Parker McCollum
Light Switch,Charlie Puth
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
One Mississippi,Kane Brown
She's All I Wanna Be,Tate McRae
Waiting On A Miracle,Stephanie Beatriz
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
P Power,Gunna Featuring Drake
Heart On Fire,Eric Church
Beers On Me,"Dierks Bentley, Breland & HARDY"
23,Sam Hunt
AA,Walker Hayes
Broadway Girls,Lil Durk Featuring Morgan Wallen
Chosen,Blxst & Tyga Featuring Ty Dolla $ign
Doin' This,Luke Combs
Rumors,Gucci Mane Featuring Lil Durk
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
For Tonight,Giveon
Pressure,Ari Lennox
Never Say Never,Cole Swindell / Lainey Wilson
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
Me Or Sum,"Nardo Wick, Lil Baby & Future"
Do It To It,Acraze Featuring Cherish
All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast"
Scorpio,Moneybagg Yo
Scared Money,YG Featuring J. Cole & Moneybagg Yo
Whiskey And Rain,Michael Ray
I Love You So,The Walters
Cold December,Rod Wave
Emo Girl,Machine Gun Kelly & WILLOW
Black Summer,Red Hot Chili Peppers
By Your Side,Rod Wave
Peru,Fireboy DML & Ed Sheeran
Beautiful Lies,Yung Bleu & Kehlani
High,The Chainsmokers
Circles Around This Town,Maren Morris
All Too Well (Taylor's Version),Taylor Swift
If I Was A Cowboy,Miranda Lambert
Get Into It (Yuh),Doja Cat
Doja,$NOT & A$AP Rocky
Hate Our Love,Queen Naija & Big Sean
Come Back As A Country Boy,Blake Shelton
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
Numb Little Bug,Em Beihold
Too Easy,Gunna & Future
The Motto,Tiesto & Ava Max
Home Sweet,Russell Dickerson
Flower Shops,ERNEST Featuring Morgan Wallen
Iffy,Chris Brown
When I'm Gone,Alesso / Katy Perry
Fair Trade,Drake Featuring Travis Scott
Megan's Piano,Megan Thee Stallion
Moth To A Flame,Swedish House Mafia & The Weeknd
